model_name,MAE,RMSE,R2
Linear Regression,5.831525738488251e-13,7.238549032951268e-13,1.0
Random Forest Regressor,2.9894257534261635,3.631527036765637,0.9143349995783386
Decision Tree Regressor,4.388790252754195,5.1821764517656455,0.8255587256336425
